id,name,type,address,phone,latitude,longitude,hours,distance,appointment_required
1,Inspired Vision Compassion Center,Grocery Distribution,"2019 N Masters Dr, Dallas, TX 75217",(214) 484-6393,32.747565834551885,-96.64811116384143,Mon-Fri 9:30AM-5:00PM,,No
2,Crossroads Community Services,Food Pantry,"4500 S Cockrell Hill Rd, Dallas, TX 75236",(214) 560-2511,32.689109349999995,-96.89062552619228,Mon-Thu 8:30AM-1:30PM (Appt only),,Yes
3,Minnie's Food Pantry,Food Pantry,"661 18th St, Plano, TX 75074",(972) 596-0253,33.02432158005315,-96.70712042856307,Wed-Sat 8:30AM-11:30AM,,No
4,Sharing Life Community Outreach,Food Pantry,"3795 W. Emporium Circle, Mesquite, TX 75150",(972) 285-5819,32.81487531544929,-96.62571698991593,Mon-Thu 9AM-3PM; Fri 9AM-12PM; Tue 5PM-7PM,,No
5,Jan Pruitt Community Pantry,Food Pantry,"123 Alexander Ave, Lancaster, TX 75146",(972) 591-7849,32.592492,-96.787761,Tue/Thu/Sat 8AM-2PM; Wed/Fri 12PM-3PM,,No
6,The Bridge (Second Chance Café),Soup Kitchen,"1818 Corsicana St, Dallas, TX 75201",(214) 670-1100,32.778737050000004,-96.77865256716315,Breakfast 7:30AM-8:30AM; Lunch 12PM-1PM,,No
7,Union Gospel Mission (Calvert Place),Soup Kitchen,"3211 Irving Blvd, Dallas, TX 75247",(214) 637-6117,32.80880985,-96.86957187771829,Daily meals (Check schedule),,No
8,OurCalling,Hot Meal,"1702 S Cesar Chavez Blvd, Dallas, TX 75215",(214) 444-8796,32.7744294,-96.78333665409397,Mon-Fri 8:30AM-3PM (Lunch served),,No
9,SoupMobile,Hot Meal,"2490 Coombs St, Dallas, TX 75215",(214) 655-6325,32.7699517,-96.7772221,Mobile distribution (Check website),,No
10,Brother Bill's Helping Hand,Grocery Distribution,"3906 N. Westmoreland Rd, Dallas, TX 75212",(214) 638-2196,32.78899028921066,-96.87367920423117,Mon-Fri (Grocery Store Model - Appt Required),,Yes
11,Oak Cliff Veggie Project,Grocery Distribution,"7227 S Westmoreland Rd, Dallas, TX 75237",,32.66005369387755,-96.88232782653061,Periodic distributions (Redbird Landing),,No
12,Jefferson Senior Center,Senior Meals,"1617 W. Jefferson Blvd, Dallas, TX 75208",(214) 946-1369,32.7460428,-96.84750449365873,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
13,MLK Senior Center,Senior Meals,"2901 Pennsylvania Ave, Dallas, TX 75215",(214) 670-8418,32.768889,-96.765458,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
14,West Dallas Senior Center,Senior Meals,"2828 Fish Trap Rd, Dallas, TX 75212",(214) 670-6550,32.7774598,-96.86026150811108,Mon-Fri 8AM-1PM (Congregate Meal),,Yes (60+)
15,Harry Stone Montessori (CACFP),Youth Supper (CACFP),"4747 Veterans Dr, Dallas, TX 75216",,32.693596400000004,-96.78314245349402,After School Meal (School Days),,No (Youth 18-)
16,Martin Weiss Rec Center (CACFP),Youth Supper (CACFP),"8601 Willoughby Blvd, Dallas, TX 75232",,32.64378025,-96.82991135980426,After School Meal (School Days),,No (Youth 18-)
17,Pleasant Oaks Rec Center (CACFP),Youth Supper (CACFP),"8701 Greenmound Ave, Dallas, TX 75227",,32.75076668398967,-96.6726193783892,After School Meal (School Days),,No (Youth 18-)
18,Funky Town Fridge (Poly),Community Fridge,"2308 Vaughn Blvd, Fort Worth, TX 76105",,32.72230665,-97.27985546287036,24/7 Access,,No
19,North Dallas Shared Ministries,Food Pantry,"2875 Merrell Rd, Dallas, TX 75229",(214) 358-8700,32.886885649999996,-96.88102339697949,Mon-Thu 9AM-3PM; Fri 9AM-12PM,,No
20,Network of Community Ministries,Food Pantry,"1500 International Pkwy Ste 300, Richardson, TX 75081",(972) 234-8880,32.9661,-96.709242,Mon-Wed 8AM-4PM; Thu 8AM-7PM; Sat 9AM-2PM,,No
21,The Wilkinson Center,Food Pantry,"3402 N. Buckner Blvd, Dallas, TX 75228",(214) 821-6380,32.80210980603296,-96.68201925092573,Mon/Wed 9AM-1PM; Tue 12PM-4PM,,Yes
22,Salvation Army (Carr P. Collins),Hot Meal,"5302 Harry Hines Blvd, Dallas, TX 75235",(214) 424-7000,32.8127,-96.838204,Daily Meals (Call for schedule),,No
23,The Storehouse (Seven Loaves Food Pantry),Food Pantry,"1401 Mira Vista Blvd, Plano, TX 75093",(469) 252-4015,32.979653,-96.828602,Thu 4PM-7PM; Sat 9AM-12PM,,No
24,Voice of Hope Ministries,Food Pantry,"4120 Gentry Dr, Dallas, TX 75212",(214) 631-7027,32.791285033858266,-96.88872004461557,Fri 9AM-11AM (Drive-Thru),,No
25,Funky Town Fridge (South Main),Community Fridge,"825 S Main St, Fort Worth, TX 76104",,32.73622842857143,-97.32577253061224,24/7 Access,,No
26,Funky Town Fridge (Bernice),Community Fridge,"5300 Bernice St, Fort Worth, TX 76112",,32.78464535542448,-97.27931549782451,24/7 Access,,No
